BeerID,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod
24403,Specialty IPA,23,24,1.065,1.014,6.78,66.88,6.41,30,60,1.052,67,N/A,Specific Gravity,3
67551,Specialty IPA,23,27,1.065,1.016,6.48,44.93,6.57,30,60,1.058,72,N/A,Specific Gravity,3
15980,Specialty IPA,23,21,1.08,1.018,8.08,91.31,6.81,30,60,1.056,60,N/A,Specific Gravity,3
4891,Specialty IPA,23,25,1.068,1.011,7.48,71.13,6.95,30,60,1.056,80,2.4,Specific Gravity,4
21203,Specialty IPA,23,23,1.074,1.013,7.99,79.03,8.69,30,75,1.057,80,2.5,Specific Gravity,4
69668,Specialty IPA,23,26,1.069,1.013,7.75,67.26,9.2,30,90,1.06,80,N/A,Specific Gravity,3
37256,Specialty IPA,23,25,1.056,1.009,6.09,66.34,9.23,30,60,1.046,80,3.3,Specific Gravity,4
52161,Specialty IPA,23,40,1.075,1.013,8.07,69.9,9.64,30,60,1.1,75,3,Specific Gravity,4
52162,Specialty IPA,23,23,1.067,1.013,7.19,66.89,10.74,30,60,1.052,80,4.35,Specific Gravity,4
3026,Specialty IPA,23,25,1.065,1.013,6.83,72.48,11.78,30,60,1.054,70,N/A,Specific Gravity,3
61808,Specialty IPA,23,20,1.061,1.015,6.08,51.33,12.75,30,60,1.041,70,3.1,Specific Gravity,4
6812,Specialty IPA,23,27,1.06,1.011,6.47,69.02,12.89,30,60,1.054,83,3.54,Specific Gravity,4
60093,Specialty IPA,23,26,1.067,1.014,7.28,53.85,13.62,30,90,1.058,82,N/A,Specific Gravity,3
47404,Specialty IPA,23,23,1.067,1.017,6.52,57.05,14.32,30,60,1.051,70,3,Specific Gravity,4
68242,Specialty IPA,23,25,1.054,1.013,5.34,127.4,15.33,30,60,1.045,60,3,Specific Gravity,4
46068,Specialty IPA,23,23,1.063,1.013,6.51,62.64,16.1,30,90,1.048,70,2.7,Specific Gravity,4
23324,Specialty IPA,23,20.5,1.06,1.01,6.53,61.43,16.35,30,60,1.041,59,2.5,Specific Gravity,4
20910,Specialty IPA,23,25,1.066,1.015,6.7,129.19,16.37,30,80,1.055,75,4,Specific Gravity,4
45115,Specialty IPA,23,30,1.05723421,1.010861836,6.08,49.6,16.55,30,60,14.1,85,3.1,Plato,4
41351,Specialty IPA,23,28,1.066,1.009,7.57,60.21,17.37,30,60,1.062,63,N/A,Specific Gravity,3
51024,Specialty IPA,23,23,1.064,1.017,6.05,43.46,19.81,30,90,1.049,65,3,Specific Gravity,4
28583,Specialty IPA,23,24,1.068,1.014,7.17,104.47,19.93,30,90,1.054,70,3.5,Specific Gravity,4
31883,Specialty IPA,23,35,1.057,1.012,5.8,57.04,22.65,30,90,1.066,75,N/A,Specific Gravity,3
15703,Specialty IPA,23,25,1.084,1.022,8.2,56.36,22.95,30,60,1.07,65,3.1,Specific Gravity,4
63782,Specialty IPA,23,27,1.057,1.016,5.66,72.44,25.64,30,60,1.052,60,2,Specific Gravity,4
66060,Specialty IPA,23,27,1.064,1.014,6.65,56.33,25.92,30,60,1.058,80,2.7,Specific Gravity,4
23063,Specialty IPA,23,25,1.077,1.019,7.61,92.49,25.94,30,60,1.064,75,N/A,Specific Gravity,3
65725,Specialty IPA,23,27,1.064,1.013,6.59,51.51,27.11,30,60,1.057,80,2.7,Specific Gravity,4
43884,Specialty IPA,23,22,1.062,1.012,6.64,38.67,27.34,30,60,1.046,70,N/A,Specific Gravity,3
31374,Specialty IPA,23,26,1.061987579,1.012430412,6.5,69.8,27.88,30,60,13.1,59.5,3.7,Plato,4
42327,Specialty IPA,23,22,1.056,1.011,6,71.91,28.26,30,60,1.041,73,N/A,Specific Gravity,3
28982,Specialty IPA,23,24,1.062,1.012,6.49,62.67,28.83,30,60,1.049,75,4,Specific Gravity,4
23318,Specialty IPA,23,25,1.071,1.014,7.46,69.53,29.21,30,60,1.059,65,N/A,Specific Gravity,3
41788,Specialty IPA,23,23,1.074216361,1.014999009,7.77,67.6,29.26,30,60,14,80,3,Plato,4
14857,Specialty IPA,23,25,1.07,1.012,7.56,70.92,30.65,30,90,1.058,79,3,Specific Gravity,4
37081,Specialty IPA,23,22.5,1.068,1.012,7.3,75.59,30.83,30,60,1.051,67,N/A,Specific Gravity,3
34081,Specialty IPA,23,28,1.077,1.02,7.56,73.97,32.43,30,90,1.072,70,3,Specific Gravity,4
72052,Specialty IPA,23,25,1.075,1.015,7.93,63.24,32.46,30,60,1.063,65,N/A,Specific Gravity,3
45898,Specialty IPA,23,20,1.056,1.01,6.04,72.74,33.35,30,60,1.038,70,3,Specific Gravity,4
12765,Specialty IPA,23,23,1.077,1.021,7.35,79.79,34.05,30,90,1.059,75,3,Specific Gravity,4
19607,Specialty IPA,23,25,1.062,1.011,6.65,63.47,35.16,30,60,1.052,75,3,Specific Gravity,4
68606,Specialty IPA,23,22,1.063,1.016,6.17,50.86,36.73,30,60,1.046,70,3,Specific Gravity,4
59207,Specialty IPA,23,18,1.07,1.012,7.59,68.02,37.68,30,60,1.042,60,2,Specific Gravity,4
22797,Specialty IPA,23,23.5,1.062,1.011,6.7,43.3,38.27,30,60,1.046,60,3.5,Specific Gravity,4
46647,Specialty IPA,23,25,1.06,1.01,6.48,84.75,38.44,30,70,1.05,70,3,Specific Gravity,4
10645,Specialty IPA,23,19,1.056,1.01,6.05,68.34,39.29,30,60,1.036,60,3,Specific Gravity,4
51232,Specialty IPA,23,23.09,1.082,1.021,8.09,85.28,32.14,29.9,60,1.063,72,1.5,Specific Gravity,4
30407,Specialty IPA,23,21.77,1.052,1.011,5.4,42.82,5.72,29.72,60,1.038,73,N/A,Specific Gravity,3
2607,Specialty IPA,23,22,1.062,1.01,6.81,56.63,37.53,29.7,60,1.046,73,2.5,Specific Gravity,4
47657,Specialty IPA,23,23.09,1.06,1.012,6.33,69.95,33.12,29.53,60,1.047,72,N/A,Specific Gravity,3
